Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;rezult1t
1;Konj/ko donosi Organizacioni/Organizacijski plan;Skupština;Vlada;Gradonačelnik;Šef odjeljenja/predstojnik odjela;;;3
1;Tko/ko donosi Organizacioni/Organizacijski plan;Skupština;Vlada;Gradonačelnik;Šef odjeljenja/predstojnik odjela;;;3
2;Organizacioni/Organizacijski plan se donosi na prijedlog:;Skupštine;Vlade;Gradonačelnika;Šefova odjeljenja/predstojnika odjela;;;4
3;Radno iskustvo u struci je:;Iskustvo upisano u radnu knjižicu;Radni staž za koji su uplaćeni doprinosi;Iskustvo stečeno nakon sticanja/stjecanja odgovarajućeg stepena/stupnja stručne spreme;Iskustvo stečeno prije sticanja/stjecanja odgovarajućeg stepena/stupnja stručne spreme;;;3
4;Pravilnik o radu donosi:;Skupština;Šefovi odjeljenja/predstojnici odjela;Gradonačelnik;Vlada;;;4
5;Pravilnik o radu se donosi na prijedlog:;Vlade;Šefa Odjeljenja/predstojnika Odjela za stručne i administrativne poslove;Šefova odjeljenja/predstojnika odjela;Gradonačelnika;;;2
6;Tko/ko donosi Etički kodeks?;Vlada;Šefovi odjeljenja/predstojnici odjela;Gradonačelnik;Skupština;;;1
7;Etički kodeks se donosi na prijedlog:;Vlade;Šefa Odjeljenja/predstojnika Odjela za stručne i administrativne poslove;Šefova odjeljenja/predstojnika odjela;Gradonačelnika.;;;2
8;Za praćenje primjene Etičkog kodeksa nadležan je:;Šef odjeljenja/predstojnik odjela;Apelaciona komisija/Apelacijsko povjerenstvo;Službenik za etiku;Upravni inspektor;;;3
9;Na kojem nivou/razini organi/tijela javne uprave planiraju popunjavanje upražnjenih radnih mjesta?;Mjesečnom;Godišnjem;Polugodišnjem;Tromjesečnom;;;2
10;Čime se utvrđuju posebni uslovi/uvjeti za radno mjesto?;Planom zapošljavanja;Konkursom/natječajem;Organizacionim/Organizacijskim planom;Odlukom gradonačelnika;;;3
11;Posebni uslovi/uvjeti za radno mjesto odnose se na:;Državljanstvo, punoljetstvo;Izjavu o sukobu interesa;Zdravstvenu sposobnost;Stručnu spremu, radno iskustvo u struci i druge uslove kada priroda i uslovi posla to zahtijevaju;;;4
12;Tko/ko donosi Odluku o kategorizaciji radnih mjesta u organima/tijelima javne uprave Brčko distrikta BiH?;Gradonačelnik;Šef odjeljenja/predstojnik odjela;Skupština Brčko distrikta BiH;Vlada;;;4
13;Opća/opšta načela kadrovske politike donosi:;Vlada;Skupština Brčko distrikta BiH;Šef odjeljenja/predstojnik odjela;Gradonačelnik;;;1
14;Odbor za zapošljavanje sastoji se od:;Pet članova;Odbor ne postoji;Tri stalna člana;Četiri člana;;;3
15;Komisija/Povjerenstvo za zapošljavanje sastoji se od:;Pet članova;Komisija/povjerenstvo ne postoji;Tri člana;Četiri člana.   ;;;3
16;Raspisivanje konkursa/natječaja vrši se na osnovu/temeljem:;Organizacionog/Organizacijskog plana;Odluke Vlade;Pravilnika o zapošljavanju;Plana zapošljavanja;;;4
17;Sadržaj internog oglasa ili javnog konkursa/natječaja utvrđuje se:;Organizacionim/Organizacijskim planom;Odlukom Vlade;Pravilnikom o zapošljavanju;Planom zapošljavanja;;;3
18;Pravilnik o zapošljavanju donosi:;Gradonačelnik;Skupština Brčko distrikta BiH;Vlada;Šef odjeljenja/predstojnik odjela;;;3
19;Bodovanje kandidata vrši se na osnovu/temeljem:;Pismenog testa (50% bodova) i usmenog intervjua (50% bodova);Pismenog testa (75% bodova) i usmenog intervjua (25% bodova);Samo na osnovu/temeljem usmenog intervjua;Pismenog testa (25% bodova) i usmenog intervjua (75% bodova);;;2
20;Kad se može raspisati interni oglas?;Uvijek kada je radno mjesto upražnjeno;Nikad ne može;U slučaju prekobrojnosti;Uvijek kada to odluči rukovodilac organa/rukovoditelj tijela uprave;;;3
21;Tko/ko se može prijaviti na interni oglas?;Osobe/lica koja ispunjavaju uslove/uvjete radnog mjesta;Zakonski nema internog oglasa;Svaka osoba/lice koje radi u Vladi;Osobe/lica koja su proglašena prekobrojnim;;;4
22;Tko/ko (s)provodi postupak izbora službenika, odnosno namještenika u organe/tijela javne uprave?;Odbor za zapošljavanje;Gradonačelnik;Organ/tijelo javne uprave u koji se bira kandidat;Komisija/povjerenstvo za zapošljavanje;;;4
23;Tko/ko donosi Odluku o izboru kandidata?;Odbor za zapošljavanje;Šef Odjeljenja/Predstojnik Odjela u koje se bira kandidat;Gradonačelnik   ;;;;1
24;Kandidat koji nije zadovoljan rezultatima postupka može izjaviti žalbu:;Gradonačelniku;Upravnom inspektoru;Apelacionoj komisiji/Apelacijskome povjerenstvu;Šefu odjeljenja/predstojniku odjela;;;3
25;Radi vjerskih blagdana/praznika ili običaja službenika, odnosno namještenik u toku/tijeku jedne kalendarske godine ima pravo na plaćeno odsustvo u trajanju od:;Jednog radnog dana;Četiri radna dana;Tri radna dana;Dva radna dana;;;1
26;U kojem roku je, od dana konačnosti odluke o izboru kandidata, gradonačelnik dužan donijeti rješenje o zasnivanju radnog odnosa službenika, odnosno namještenika?;24 sata/časa;Osam dana;Pet dana;Tri dana;;;2
27;Program ispita za rad u organima/tijelima javne uprave, sadržaj programa, način polaganja kao i visinu naknade za polaganje ispita za rad u organima/tijelima javne uprave, na prijedlog Komisije/Povjerenstva utvrđuje:;Predsjednik Komisije/Povjerenstva za polaganje ispita;Vlada Brčko distrikta BiH;Odbor za zapošljavanje;Gradonačelnik;;;4
28;Ocjenjivanje rada službenika, odnosno namještenika vrši se:;Svakih šest mjeseci;Ne vrši se ocjenjivanje;Kvartalno, to jest, svaka 3 mjeseca;Jednom godišnje;;;4
